ds,yhat,yhat_lower,yhat_upper
2013-01-01,15.252679105423603,14.540864099157325,15.985857479444245
2013-01-02,15.172883150075652,14.439311692409555,15.864971222876383
2013-01-03,15.066644670200702,14.313701554034568,15.822657496650196
2013-01-04,15.214265253181628,14.487031661197834,15.90680993243532
2013-01-05,15.224306236087465,14.498914909871768,15.97427764549432
2013-01-06,11.90330558548441,11.172663275243023,12.617950548046107
2013-01-07,15.450058289463243,14.699766070199614,16.179665736725077
2013-01-08,15.482787189722847,14.747229960898007,16.262931465541264
2013-01-09,15.423174462998263,14.704087265695684,16.10347287265666
2013-01-10,15.332431532434875,14.55993450854079,16.10981288195509
2013-01-11,15.490718823540146,14.718181795779339,16.185940367803514
2013-01-12,15.50655926541825,14.803613981702334,16.237142037153607
2013-01-13,12.186553634402218,11.46702644711022,12.895155501887736
2013-01-14,15.729657117093554,14.953392100878029,16.394998687396974
2013-01-15,15.75434415484368,14.988022884069645,16.511131131312613
2013-01-16,15.682631963966397,14.945071622067994,16.405561933615772
2013-01-17,15.57614074277732,14.909911180647699,16.269674926420777
2013-01-18,15.71550224925258,14.98950489328663,16.44337264654417
2013-01-19,15.709760950676948,15.002830892993327,16.461526551777222
2013-01-20,12.366076166081356,11.650779781698143,13.087913199609782
2013-01-21,15.883984917046632,15.229825301498579,16.605980670002502
2013-01-22,15.882552892699078,15.173013675252097,16.622065149344802
2013-01-23,15.784384264165471,15.02187123395786,16.5599939517067
2013-01-24,15.65166868838591,14.926493911518827,16.358968018004436
2013-01-25,15.765577494183765,15.095888154026099,16.505079724818682
2013-01-26,15.735653533078414,15.038344444572544,16.453328582553645
2013-01-27,12.369503363020518,11.658367514418408,13.138105641247453
2013-01-28,15.867051687632715,15.073453529760176,16.625100551126827
2013-01-29,15.847685619963872,15.061390951691099,16.55863068147196
2013-01-30,15.734259621184613,14.967569506631175,16.412017185942812
2013-01-31,15.589139520285764,14.842037567834591,16.35473499520648
2013-02-01,15.693597623649296,14.907044103731186,16.45611194399763
2013-02-02,15.65720336187631,14.922242141438115,16.422412814597447
2013-02-03,12.287518065512232,11.513642052609438,12.95313550582195
2013-02-04,15.78435366370891,15.01283181791638,16.572373082395398
2013-02-05,15.766922713098392,15.017699583314752,16.49583654350313
